user_id,recommended_items
285,882543 139004 2044303 2592829 238571
902,882543 1225403 289599 1725193 306724
948,1713185 2828047 1707917 340811 574659
1183,2258655 595394 2470880 2131409 261953
1286,1317915 2154014 682915 942497 1070094
1509,1624781 2044303 2192333 238571 2713312
1776,636889 1615362 1976901 2778442 370820
1982,1053452 2778525 1244196 1386412 657183
2742,1053452 2778525 1244196 1386412 657183
3161,1624781 952102 984114 988140 2044303
3256,1189146 2253107 1289213 1472851 2227201
3375,2382710 1517024 1117173 1668298 1200837
3547,1053452 2778525 1244196 1386412 657183
3630,683831 2503266 2125531 1291835 577851
3806,882543 712209 275929 397974 1413540
4607,1053452 2778525 1244196 1386412 657183
5112,1053452 2778525 1244196 1386412 657183
5627,254048 1870464 57460 2792382 2716169
5686,813128 2828750 2619962 1935797 784932
5738,1088987 2406712 144119 370820 64039
5839,2734492 493729 2353771 1300183 1387396
6442,882543 139004 771416 1413540 1516336
7182,2244175 2086015 2076321 2300127 1615362
7693,1053452 2778525 1244196 1386412 657183
8316,771416 2752423 2444587 841721 306724
9660,1165605 882543 1843411 2076321 49509
9680,1624781 952102 2044303 238571 2192333
10044,859242 1516336 306724 704201 2796183
10316,226371 73218 395616 2207091 2085876
10469,1624781 952102 984114 782713 2192333
10470,1016436 1382937 275929 712209 255085
10870,1053452 2778525 1244196 1386412 657183
10956,882543 2719617 139004 2146119 2470865
11027,139004 1230659 1480251 1413540 1596124
11380,1088987 1116248 144119 2478900 2123083
11423,1053452 2778525 1244196 1386412 657183
11805,882543 139004 2774733 275929 1413540
12046,1624781 984114 139004 2713312 134624
12097,882543 139004 1843411 2013935 2371498
12233,1053452 2778525 1244196 1386412 657183
12593,2719617 2192333 238571 2069813 306724
12626,882543 2719617 139004 1749097 1516336
12630,882543 139004 2044303 2774733 782713
12671,2791339 449441 2230175 979758 2258544
12689,2719617 2155146 2716452 255085 440569
12750,882543 2719617 139004 771416 1516336
12852,2719617 139004 2470865 190606 275929
13715,1053452 2778525 1244196 1386412 657183
14269,1755502 2621946 2069813 757374 2767091
14624,882543 139004 2774733 1413540 607638
14792,1486947 850402 984443 1870704 1293242
14966,2705759 2460014 1836572 1861093 2365168
15006,636889 190606 1413540 2768923 2778442
15100,882543 139004 2423973 2716452 190606
15549,535530 139004 2752423 1321367 2828750
15611,1671267 1704842 21333 302727 432517
16228,1053452 2778525 1244196 1386412 657183
16874,882543 139004 988140 2192333 134624
16971,882543 2044303 2774733 2592829 548859
18097,190606 712209 255085 397974 1516336
18564,1624781 952102 988140 782713 2192333
18796,723096 2295534 1108512 1684123 2634334
18994,882543 1472851 1615362 2227201 2478900
19544,275929 255085 397974 440569 2776360
19679,882543 636889 139004 712209 1413540
19704,714653 1014523 117372 947360 1661093
20101,1078888 2716452 440569 33197 1262298
20679,1124313 139004 2312162 1413540 306724
20815,882543 174892 1986324 1362357 1615362
20979,882543 1078888 33197 306724 1262298
21195,988140 2044303 782713 134624 2192333
21324,275929 397974 255085 479595 2776360
21578,1053452 2778525 1244196 1386412 657183
21627,771416 1516336 841721 306724 704201
21663,449441 1894914 2753566 698106 1870704
21813,771416 2752423 1521930 1596124 841721
21835,1057404 808406 1644970 522016 125527
22107,636889 1218572 1071532 2295534 2768923
22206,723096 2295534 1684123 2634334 1108512
22591,2043929 1823509 615688 397887 1728147
22728,1053452 2778525 1244196 1386412 657183
23229,1421084 375717 1361639 929465 2779522
23361,988140 2044303 782713 238571 1952969
23459,381044 2588490 1978534 1134495 1520888
23667,2719617 139004 771416 1516336 1413540
23718,2050227 2023091 596178 2628685 1058353
24419,1053452 2778525 1244196 1386412 657183
24465,882543 801479 771416 440569 841721
25906,882543 952102 2044303 782713 238571
26038,1477734 1604573 1241609 1321367 440569
26658,2719617 771416 2752423 1516336 841721
27187,882543 1624781 1749097 134624 306724
27501,2719617 771416 1516336 370820 841721
27638,882543 139004 1413540 1516336 306724
27707,1294682 1728212 2069813 2366932 1218780
27727,882543 1843411 2246580 2371498 2392150
27845,2719617 1864789 2752423 1141074 1321367
27931,1049937 2168537 2173340 2066757 2735808
28232,1162250 1340660 1486947 1413540 1957948
28739,882543 1978534 440569 1615362 1976901
28801,139004 2774733 2306574 712209 275929
28972,1773768 1575935 652373 1284494 1224868
29072,2721169 569568 1044973 480007 1829851
29146,58071 483395 196968 522809 1606
29212,2044303 771416 1749097 841721 306724
29340,1755502 139004 1749097 570383 306724
29449,1189146 2253107 1659407 370820 201772
29519,139004 1717400 1216431 2828750 1675294
30094,2501356 2719617 1262409 925176 28255
30368,1053452 2778525 1244196 1386412 657183
30774,1053452 2778525 1244196 1386412 657183
30910,882543 1016436 2719617 1382937 139004
31318,1016436 1382937 2763004 2716452 455510
32111,1053452 2778525 1244196 1386412 657183
32371,2752423 440569 2207091 2619962 1865850
32434,1189146 1550605 2734053 2158063 731325
33119,1053452 2778525 1244196 1386412 657183
33317,2380306 2239755 1570153 2334188 467643
33492,882543 952102 139004 2774733 782713
33552,234084 528854 391954 148839 1317513
33704,882543 952102 984114 139004 988140
35125,2719617 1088987 2406712 2621946 144119
35517,636889 2778442 1124915 1882077 1720816
35752,43306 1156803 2766686 1888822 2363688
36049,882543 1078888 440569 33197 1262298
36125,744945 1238924 1187699 289599 95911
36396,1053452 2778525 1244196 1386412 657183
36940,771416 2192333 2592829 841721 306724
37187,1138032 2666340 2197213 2798189 1874092
37351,882543 139004 190606 2716452 440569
38059,2561741 1370031 1631649 828514 1849816
38189,2450694 1843150 1871576 2237822 2676037
38365,1430325 1404301 206258 2498458 2207091
38481,2631964 440569 2828750 2518350 2776360
38730,882543 2244175 2304657 1615362 1976901
38944,882543 139004 2774733 1413540 306724
39189,1053452 2778525 1244196 1386412 657183
39773,988140 782713 548859 1952969 306724
39778,882543 2719617 139004 771416 1516336
40141,614700 914866 1321367 1602405 455510
40180,2686805 1480251 720941 2498458 2161079
40246,2705759 1861093 1615362 370820 1976901
40468,2705759 1404301 1861093 859242 221351
41309,466593 1573395 673299 1872947 10952
41345,243557 1155556 1274336 2203636 2708595
41383,535530 1983757 2641962 191364 1412316
41403,2348573 1978534 761082 2165625 2768923
41629,2258544 1615362 1031373 368471 1976901
41649,177825 1366236 2752423 1893587 790148
42051,882543 2719617 139004 2774733 238571
42321,1053452 2778525 1244196 1386412 657183
42617,512681 1389265 340121 778416 1981600
42912,2159515 1042196 252698 1570917 2833767
43088,882543 2719617 139004 771416 440569
43399,570383 2071234 306724 1725193 2767091
43444,1053452 2778525 1244196 1386412 657183
44628,882543 139004 2774733 1413540 33197
46074,1053452 2778525 1244196 1386412 657183
46106,2719617 1864789 771416 2621946 1213969
46377,139004 2470865 275929 712209 255085
46391,2366932 2071234 1461004 757374 2328018
46874,882543 984114 2719617 139004 2044303
47353,1321367 1230659 190606 1480251 2716452
47387,882543 2719617 139004 1413540 306724
47475,1349839 1686458 599025 2728774 789747
47662,139004 926828 1413540 2360545 306724
48463,1053452 2778525 1244196 1386412 657183
48478,882543 952102 139004 988140 2192333
48675,1016436 1382937 2306574 712209 275929
48789,882543 139004 988140 2774733 1413540
49239,2719617 139004 771416 1516336 841721
49334,1280955 1905117 2168063 930591 2279599
49418,139004 771416 1516336 1413540 841721
49794,2716452 712209 275929 397974 440569
50754,882543 1128805 2392150 440569 939259
50874,2791339 636889 449441 2698338 2369856
51289,882543 2719617 139004 2774733 1413540
51380,2183288 854955 1113937 287676 391954
51416,1624781 1755502 1516336 306724 272736
51445,882543 2013935 2244175 178401 2275611
51851,882543 139004 2306574 190606 712209
52067,1088987 2406712 144119 242449 1828811
52207,2075329 2393888 1538496 1801970 1302336
52730,2719617 771416 255085 440569 1516336
52831,1624781 984114 134624 2713312 2192333
53121,1503882 66474 1085942 1385288 1443774
53574,1423069 2347351 1726380 392985 560665
53638,2719617 139004 2155146 1014523 2470865
53677,636889 1836572 1615362 1976901 2778442
53760,2719617 1328711 2470865 2256942 128644
53874,1624781 952102 984114 2044303 782713
54382,882543 2155146 2752423 1321367 2716452
55261,1014523 190606 275929 712209 1516336
55358,882543 2719617 139004 771416 440569
55450,397742 786684 2258544 1728536 805382
55534,1739585 455510 2483847 1230759 1743383
56110,882543 2719617 139004 2752423 440569
56216,139004 771416 2752423 2716452 455510
56227,139004 712209 275929 255085 397974
56317,984114 2044303 238571 2592829 2192333
56439,723777 720941 2400484 1455644 666889
57013,882543 1349839 1686458 789747 440569
58197,139004 771416 1413540 841721 306724
58250,712209 275929 255085 397974 2776360
58548,882543 1016436 1382937 1078888 440569
58600,1069281 1796526 921541 2469440 346257
58624,2257874 2174514 182233 2488811 1516336
58695,882543 984114 2719617 139004 988140
58784,1053452 2778525 1244196 1386412 657183
58798,882543 1624781 546415 1016436 1382937
58833,882543 636889 984114 1615362 1413540
59104,882543 139004 2592829 2713312 1413540
59135,1624781 952102 984114 782713 2592829
59546,139004 275929 712209 397974 255085
59782,139004 2645314 178239 594119 306724
59842,882543 952102 238571 2713312 134624
60155,139004 712209 255085 1725193 560665
60471,882543 139004 275929 712209 397974
60496,1053452 2778525 1244196 1386412 657183
61016,1330328 1025299 454934 434699 2481419
